[2/13/18 04:33AM]	Login from host 179.159.89.48	
[2/13/18 04:42AM]	Player bought 4587 x 1 from shop	
[2/13/18 04:55AM]	Lolpvm used command ::answer bank | Player rights = PLAYER	
[2/14/18 05:19AM]	Login from host 179.159.89.48	
[2/27/18 01:01PM]	Login from host 179.159.89.48	
[2/27/18 01:02PM]	Player bought 1725 x 1 from shop	
[2/27/18 01:02PM]	Player bought 2550 x 1 from shop	
[2/27/18 01:02PM]	Player dropping item: 579, amount: 1	
[2/27/18 01:02PM]	Player picking up item: [ItemDefinition(579)] - Name: Wizard hat; equipment slot: 0; value: 551; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/27/18 01:03PM]	Player bought 4587 x 1 from shop	
[2/27/18 01:03PM]	Lolpvm used command ::train | Player rights = PLAYER	
[2/27/18 01:07PM]	Lolpvm used command ::train | Player rights = PLAYER	
[2/28/18 05:45AM]	Login from host 179.159.89.48	
[2/28/18 05:45AM]	Lolpvm used command ::[FRI]Conor | Player rights = PLAYER	
[2/28/18 05:50AM]	Player picking up item: [ItemDefinition(405)] - Name: Casket; equipment slot: 3; value: 909; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/28/18 05:56AM]	Lolpvm used command ::answer dark beast | Player rights = PLAYER	
[2/28/18 05:56AM]	Lolpvm used command ::answer phoenix | Player rights = PLAYER	
[2/28/18 05:58AM]	Player picking up item: [ItemDefinition(18778)] - Name: Starved ancient effigy; equipment slot: 3; value: 0; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/28/18 06:07AM]	Player picking up item: [ItemDefinition(403)] - Name: Edible seaweed; equipment slot: 3; value: 321; stackable ? false; noted ? false; 2h ? false amount: 3	
[2/28/18 06:09AM]	Player dropping item: 403, amount: 1	
[2/28/18 06:09AM]	Player dropping item: 403, amount: 1	
[2/28/18 06:09AM]	Player dropping item: 403, amount: 1	
[2/28/18 06:11AM]	Player bought 861 x 1 from shop	
[2/28/18 06:11AM]	Player bought 892 x 1000 from shop	
[2/28/18 06:11AM]	Player bought 10499 x 1 from shop	
[2/28/18 06:12AM]	Player bought 2503 x 1 from shop	
